name,country,type,description
LG Energy Solution,Korea,Cell Maker,"LG Energy Solution, based in South Korea, is a leading battery manufacturer specializing in lithium-ion batteries for electric vehicles (EVs), energy storage systems (ESS), and consumer electronics. Key products include EV power packs, home and industrial batteries, and battery packs for smartphones. The company holds a significant global market share, ranking among the top three battery suppliers, with strong"
Tesla,USA,Automaker,"Tesla, based in the USA, is a leading innovator in electric vehicles (EVs) and energy storage. Key products include the Model S, Model 3, Model X, Model Y, and the Powerwall home battery. The company also produces lithium-ion batteries for EVs and energy storage through its Gigafactories. Tesla dominates the EV market with a strong brand and technological leadership, while competing with traditional automakers and battery suppliers. Its vertical integration and focus on sustainability"
CATL,China,Cell Maker,"CATL (Contemporary Amperex Technology Co. Limited), based in China, is a global leader in lithium-ion battery manufacturing. It specializes in EV batteries, energy storage systems, and battery management systems. Key products include lithium iron phosphate (LFP) and nickel-rich cathode batteries for electric vehicles and grid"
SK On,Korea,Cell Maker,"SK On is a South Korean battery manufacturer under the SK Group, specializing in lithium-ion batteries for electric vehicles (EVs) and energy storage systems. Key products include EV power batteries, battery packs, and stationary storage solutions. The company is a global leader in the EV battery market, with significant partnerships like"
Samsung SDI,Korea,Cell Maker,"Samsung SDI is a leading South Korean battery manufacturer, specializing in lithium-ion batteries for electric vehicles, energy storage, and consumer electronics. Key products include EV batteries, solid-state batteries, and industrial storage systems. The company holds a significant market position, supplying major automakers like Tesla and Hyundai, and is a top player in the global battery industry, known for innovation and scale."
Panasonic,Japan,Cell Maker,"Panasonic, based in Japan, is a global leader in battery technology. Key products include lithium-ion batteries for electric vehicles (EVs), consumer electronics, and energy storage systems. They supply batteries for Tesla’s EVs and collaborate on solid-state battery R&D. Panasonic holds a strong market position in EV batteries and energy storage, driven by innovation and partnerships. Their focus on sustainable energy solutions enhances their competitiveness in the rapidly growing battery industry."
BYD,China,Automaker,"BYD, based in China, is a leading manufacturer of electric vehicles (EVs) and energy storage systems. Its key products include lithium-ion batteries for EVs, battery-electric buses, and stationary energy storage solutions. The company leverages its own battery technology to power its EVs, enhancing integration and cost control. BYD holds a significant"
Northvolt,Sweden,Cell Maker,"Northvolt, a Swedish battery manufacturer, specializes in producing lithium-ion cells and modules for electric vehicles and energy storage. Key products include NMC and LFP battery chemistries, with a focus on sustainability and cobalt-free designs. The company aims to reduce Europe's reliance on Asian battery suppliers by establishing gigafactories in Sweden and other regions. Northvolt competes globally, targeting EV automakers and energy"
QuantumScape,USA,Startup,"QuantumScape is a U.S.-based company specializing in solid-state battery technology. Its key product is the solid-state battery, offering higher energy density, faster charging, and improved safety compared to traditional lithium-ion batteries. The company, acquired by Volkswagen in 2021, is a leader in next-gen battery innovation"
Solid Power,USA,Startup,"Solid Power is a U.S.-based company specializing in solid-state battery technology. They develop high-energy-density solid-state cells for electric vehicles (EVs) and energy storage. Key products include their S2 and S3 battery systems, targeting automotive and industrial applications. Positioned as a leader in solid-state innovation, they partner with major automakers like Ford and BMW to advance EV battery performance, safety, and sustainability. Their technology aims to reduce reliance on lithium-ion, offering longer ranges and faster charging. Solid Power is a key player in the next-gen battery market,"
StoreDot,Israel,Startup,"StoreDot, based in Israel, is a leader in fast-charging battery technology. Their key product is the Flash battery, enabling smartphones to charge to 80% in under 10 minutes. They also develop batteries for EVs and energy storage. StoreDot partners with major phone manufacturers and is expanding into electric vehicles and grid storage. Known for innovation, they compete in the consumer electronics and automotive sectors, positioning themselves as a pioneer in high-speed charging solutions."
CALB,China,Cell Maker,"CALB (China Advanced Lithium Battery Co.) is a leading Chinese battery manufacturer specializing in lithium-ion batteries for electric vehicles (EVs) and energy storage systems. Key products include power batteries for EVs, battery packs, and储能 systems. CALB holds a significant market position in China, supplying major automakers like Tesla and BYD. It ranks among the top global EV battery producers, leveraging advanced technology and scale to compete internationally."
Guoxuan High-Tech,China,Cell Maker,"Guoxuan High-Tech, based in China, is a leading battery manufacturer specializing in lithium-ion batteries for electric vehicles, energy storage, and consumer electronics. Key products include power batteries for EVs and industrial applications. The company holds a significant market share in China's battery industry, leveraging advanced R&D and scalable production. It collaborates with major automakers and energy firms,"
EVE Energy,China,Cell Maker,"EVE Energy, based in China, is a leading lithium-ion battery manufacturer specializing in electric vehicle (EV) batteries, consumer electronics, and energy storage systems. Key products include cylindrical, prismatic, and pouch cells tailored for EVs and portable devices. The company holds a significant market share in China and is expanding globally, partnering with automakers"
Sunwoda,China,Cell Maker,"Sunwoda is a Chinese battery manufacturer specializing in lithium-ion power batteries for electric vehicles (EVs) and energy storage systems. Key products include EV battery packs, stationary storage solutions, and battery management systems. The company serves automakers and energy firms globally, leveraging China's EV growth. While not a top-tier player like CATL or BYD, Sunwoda holds a mid-sized market position, focusing on cost-effective solutions and expanding its footprint in emerging markets."
Farasis Energy,China,Cell Maker,"Farasis Energy, based in China, is a leading manufacturer of lithium-ion batteries for electric vehicles (EVs) and energy storage systems. Key products include high-energy-density cells and battery packs tailored for EVs and grid storage. The company focuses on innovation in battery technology, such as solid-state and silicon-based anodes. Farasis holds a significant market position in China’s EV sector, supplying major autom"
AESC,Japan,Cell Maker,"AESC (Advanced Energy Storage Corporation), based in Japan, is a leading battery manufacturer specializing in lithium-ion cells and systems for electric vehicles (EVs) and hybrid vehicles. A subsidiary of Toyota, AESC focuses on sustainable energy storage solutions, supplying major automakers globally. Its key products include high-energy-density batteries for EVs and energy storage systems. AESC holds a strong market position in Japan and internationally, driven by partnerships and innovation in battery technology."
Verkor,France,Startup,"Verkor is a French battery technology company specializing in lithium-ion battery cells and systems. They focus on electric vehicle (EV) and energy storage applications, offering high-energy-density batteries with advanced thermal management. Verkor collaborates with automakers and energy firms to supply sustainable battery solutions. Positioned as a key player in Europe's EV market, they aim to reduce reliance on foreign supply chains by developing domestic battery production capabilities. Their expertise in materials innovation and scalable manufacturing strengthens their competitive edge in the growing green energy sector."
Morrow Batteries,Norway,Startup,"Morrow Batteries, based in Norway, specializes in manufacturing advanced energy storage systems. Key products include lithium-ion batteries for grid-scale storage and electric vehicles. The company plays a pivotal role in Norway’s renewable energy transition, leveraging its expertise in sustainable technology. With a focus on innovation and decarbonization, Morrow Batteries is"
Freyr,Norway,Startup,"Freyr is a Norwegian battery manufacturer specializing in energy storage solutions. Key products include lithium-ion batteries for electric vehicles and grid-scale storage systems. The company focuses on sustainable energy transition and collaborates with major automakers like Tesla. Freyr holds a significant market position in Europe, leveraging advanced battery technology and strategic partnerships to compete in the growing EV and renewable energy sectors."
