name,country,type,description
LG Energy Solution,Korea,Cell Maker,"LG Energy Solution, a South Korean company spun off from LG Chem, is a leading global supplier of batteries. Their core business involves manufacturing lithium-ion batteries, primarily cylindrical ones, for electric vehicles (EVs) and energy storage systems (ESS). They are a major player in the EV battery supply chain, competing strongly with other top-tier manufacturers like Panasonic and CATL. Their goal is to be a"
Tesla,USA,Automaker,"Tesla, based in the USA, plays a pivotal role in the battery industry, primarily as a major manufacturer of lithium-ion batteries. Key products are their proprietary battery packs for electric vehicles (like the Model S/X/Semi) and energy storage systems (like Powerwall, Megapack). Tesla's market position is strong as an innovator and significant producer, supplying batteries for its own vehicles and energy products, and expanding through large-scale gigafactories."
CATL,China,Cell Maker,"CATL is the world's leading lithium-ion battery supplier, primarily for electric vehicles (EVs) and energy storage. They play a crucial role in enabling the global shift to sustainable transportation and renewable energy. Their key products are high-energy-density power batteries for EVs, various types of EV batteries (like solid-state research), and"
SK On,Korea,Cell Maker,"SK On is a major South Korean battery manufacturer, a core subsidiary of the SK Group. Its primary role is designing, producing, and supplying lithium-ion battery cells and complete battery packs.

Key products include"
Samsung SDI,Korea,Cell Maker,"Samsung SDI is a major South Korean company specializing in advanced battery manufacturing. They are a key supplier for major electronics brands, producing lithium-ion batteries for smartphones, tablets, laptops, and other portable devices. Their products also extend to electric vehicles and energy storage systems. Samsung SDI holds"
Panasonic,Japan,Cell Maker,"Panasonic is a major Japanese electronics and energy company. In batteries, they are a global leader, particularly in lithium-ion technology.

Their key products include batteries for electric vehicles (EV"
BYD,China,Automaker,"BYD is a major Chinese company and a global leader in the battery industry, particularly in energy storage and electric vehicle (EV) batteries. They are a key market leader, developing and manufacturing lithium iron phosphate (LFP) and other advanced lithium-ion battery technologies. BYD designs, produces, and markets batteries for EVs, energy storage systems (ESS), and consumer electronics"
Northvolt,Sweden,Cell Maker,"Northvolt, based in Sweden, is a leading European battery manufacturer aiming to supply lithium-ion cells and battery packs for electric vehicles and energy storage. Their key products include cylindrical cells and battery modules/packs, made at large-scale gigafactories. They position themselves as a competitive supplier, focusing on"
QuantumScape,USA,Startup,"QuantumScape, based in the USA, is a battery technology developer focusing on solid-state batteries for electric vehicles (EVs). Their key product is a ceramic-based solid-state separator designed to allow more energy-dense battery chemistries while enhancing safety by preventing thermal runaway. They aim to enable longer EV ranges and faster charging. QuantumScape compet"
Solid Power,USA,Startup,"Solid Power is a US-based company pioneering solid-state battery technology. Their core role is developing and commercializing solid-state battery cells and packs. Key products include their Solid-State Battery (SSB) platform, offering enhanced energy density,"
