Id,Label,Type
measure firm-level technology convergence capability,measure firm-level technology convergence capability,Purpose
understand innovation strategy for technological capabilities,understand innovation strategy for technological capabilities,Purpose
Propose hybrid-patent-classification approach,Propose hybrid-patent-classification approach,Purpose
finding patterns of convergence,finding patterns of convergence,Purpose
identify variables affecting convergence,identify variables affecting convergence,Purpose
understand quantum ecosystem,understand quantum ecosystem,Purpose
push quantum movements,push quantum movements,Purpose
structure technology convergence network,structure technology convergence network,Purpose
integrate different results,integrate different results,Purpose
analyze patent network characteristics,analyze patent network characteristics,Purpose
propose novel patent network-based classification method,propose novel patent network-based classification method,Purpose
improve efficiency and quality of patent analysis,improve efficiency and quality of patent analysis,Purpose
Study appropriability efforts,Study appropriability efforts,Purpose
Analyze technological trajectories,Analyze technological trajectories,Purpose
Assess economic importance,Assess economic importance,Purpose
Propose a two-stage retrieval strategy,Propose a two-stage retrieval strategy,Purpose
Systematic method for patent network analysis,Systematic method for patent network analysis,Purpose
explore changes in global innovation networks,explore changes in global innovation networks,Purpose
driving forces of global innovation networks,driving forces of global innovation networks,Purpose
China's position in global innovation system,China's position in global innovation system,Purpose
analyze technology fusion phenomena,analyze technology fusion phenomena,Purpose
focus on solar photovoltaic industry,focus on solar photovoltaic industry,Purpose
position nations' efforts in a technology domain,position nations' efforts in a technology domain,Purpose
investigate relationship between mobility of major patent holders and localization of technological knowledge,investigate relationship between mobility of major patent holders and localization of technological knowledge,Purpose
Preventing strokes in patients with cryptogenic embolism,Preventing strokes in patients with cryptogenic embolism,Purpose
Identifying technological evolution,Identifying technological evolution,Purpose
assist in technology management,assist in technology management,Purpose
analyze cloud computing technology,analyze cloud computing technology,Purpose
reduce cost and lead time,reduce cost and lead time,Purpose
achieve tradeoff between economy of scope and economy of scale,achieve tradeoff between economy of scope and economy of scale,Purpose
explore Sino-South Korea collaborations,explore Sino-South Korea collaborations,Purpose
focus on university-industry-government relations,focus on university-industry-government relations,Purpose
examine co-authored papers and co-assigned patents,examine co-authored papers and co-assigned patents,Purpose
analyze innovation systems,analyze innovation systems,Purpose
absorptive capacity,absorptive capacity,Purpose
connectivity capacities,connectivity capacities,Purpose
identify evolving trends and underlying topics,identify evolving trends and underlying topics,Purpose
investigate angiographic patency rates,investigate angiographic patency rates,Purpose
network meta-analysis,network meta-analysis,Purpose
coronary bypass conduits,coronary bypass conduits,Purpose
Identifying technology convergence,Identifying technology convergence,Purpose
mapping technologies,mapping technologies,Purpose
dynamic patterns,dynamic patterns,Purpose
analyze patent citation networks,analyze patent citation networks,Purpose
understand social perspectives,understand social perspectives,Purpose
