Id,Label,Type
convergence between manufacturing technology and Industry 4.0 foundation technologies,convergence between manufacturing technology and Industry 4.0 foundation technologies,Background
previous work on innovation strategy,previous work on innovation strategy,Background
Effective patent management essential,Effective patent management essential,Background
Patent classification critical,Patent classification critical,Background
Problem of patent classification,Problem of patent classification,Background
technological convergence in robotics,technological convergence in robotics,Background
network analysis of patents,network analysis of patents,Background
quantum technologies transformative,quantum technologies transformative,Background
quantum ecosystem critical,quantum ecosystem critical,Background
current articles lack interconnected relations,current articles lack interconnected relations,Background
patent co-class analysis,patent co-class analysis,Background
patent citation analysis,patent citation analysis,Background
previous work on safety fields,previous work on safety fields,Background
patent management essential,patent management essential,Background
classification patents essential,classification patents essential,Background
patent network analysis is a useful tool for technology management,patent network analysis is a useful tool for technology management,Background
traditional methods of patent analysis exist,traditional methods of patent analysis exist,Background
current method has limitations,current method has limitations,Background
Plant biotechnology as agricultural innovation,Plant biotechnology as agricultural innovation,Background
Patenting activities by universities and firms,Patenting activities by universities and firms,Background
Previous work on appropriability,Previous work on appropriability,Background
Patent analysis of cloud computing,Patent analysis of cloud computing,Background
Few attempts made,Few attempts made,Background
Rise of cloud computing technology,Rise of cloud computing technology,Background
global patent cooperation data from 1999 to 2020,global patent cooperation data from 1999 to 2020,Background
social network analysis,social network analysis,Background
global innovation networks,global innovation networks,Background
technology fusion phenomena,technology fusion phenomena,Background
solar photovolta (PV) industry,solar photovolta (PV) industry,Background
international patent classification (IPC) codes,international patent classification (IPC) codes,Background
15-year period,15-year period,Background
technology domain strategies,technology domain strategies,Background
need to know current position,need to know current position,Background
previous work on positioning efforts,previous work on positioning efforts,Background
knowledge spills imperfectly among firms and nations,knowledge spills imperfectly among firms and nations,Background
institutions and labor networks vary by region,institutions and labor networks vary by region,Background
previous work on knowledge localization,previous work on knowledge localization,Background
Effectiveness of PFO closure,Effectiveness of PFO closure,Background
Device used for PFO closure,Device used for PFO closure,Background
modern technology complex dynamic,modern technology complex dynamic,Background
general statistical techniques insufficient,general statistical techniques insufficient,Background
complex network analysis powerful tool,complex network analysis powerful tool,Background
patent documents rich information source,patent documents rich information source,Background
Internet of Things,Internet of Things,Background
cloud computing technology,cloud computing technology,Background
previous patents,previous patents,Background
traditional heuristic and manual approaches,traditional heuristic and manual approaches,Background
relies on expertise and intuition,relies on expertise and intuition,Background
previous work on collaborations,previous work on collaborations,Background
networks of university-industry-government relations,networks of university-industry-government relations,Background
co-authored papers and co-assigned patents,co-authored papers and co-assigned patents,Background
Latin American innovation systems,Latin American innovation systems,Background
USPTO database,USPTO database,Background
network analysis,network analysis,Background
analysis of data from scientific articles and patents,analysis of data from scientific articles and patents,Background
randomized trials,randomized trials,Background
pairwise comparisons,pairwise comparisons,Background
comprehensive evaluation,comprehensive evaluation,Background
fast-evolving cross-technological fields,fast-evolving cross-technological fields,Background
defense-related C4ISTAR field,defense-related C4ISTAR field,Background
previous work,previous work,Background
patent citation analysis gaining traction,patent citation analysis gaining traction,Background
previous studies limited,previous studies limited,Background
social perspectives not studied,social perspectives not studied,Background
Internet of Things (IoT) technology,Internet of Things (IoT) technology,Background
cyber-physical systems,cyber-physical systems,Background
smartphone connectivity,smartphone connectivity,Background
growth in IoT patents,growth in IoT patents,Background
patent documents excellent sources knowledge,patent documents excellent sources knowledge,Background
technology trend forecasting depends subjective experience,technology trend forecasting depends subjective experience,Background
huge amount text data difficult gain knowledge precisely promptly,huge amount text data difficult gain knowledge precisely promptly,Background
statistical methods applied patent analysis,statistical methods applied patent analysis,Background
data mining methods patent documents classified technical characteristics,data mining methods patent documents classified technical characteristics,Background
systematic review,systematic review,Background
network meta-analysis,network meta-analysis,Background
complementary external evidence,complementary external evidence,Background
GRADE system,GRADE system,Background
Patent analysis for UAM technology,Patent analysis for UAM technology,Background
Unprecedented work in this paper,Unprecedented work in this paper,Background
knowledge-intensive,knowledge-intensive,Background
technological development,technological development,Background
high analytics information technologies,high analytics information technologies,Background
patent database,patent database,Background
previous work on technology diffusion,previous work on technology diffusion,Background
traditional powers in Africa,traditional powers in Africa,Background
dynamic analysis of patent citation network,dynamic analysis of patent citation network,Background
technology life cycle phases,technology life cycle phases,Background
previous work on patent co-citation networks,previous work on patent co-citation networks,Background
articles lack interconnected relations,articles lack interconnected relations,Background
university industry collaboration networks,university industry collaboration networks,Background
emerging interdisciplinary field,emerging interdisciplinary field,Background
corporate level analysis,corporate level analysis,Background
previous literature nano biopharmaceuticals,previous literature nano biopharmaceuticals,Background
classical information analysis tools global analysis,classical information analysis tools global analysis,Background
complex topics accuracy questions lead partition reasoning viewpoints,complex topics accuracy questions lead partition reasoning viewpoints,Background
previous work neural methods patent analysis,previous work neural methods patent analysis,Background
China rare earth patents,China rare earth patents,Background
2001-2020,2001-2020,Background
little research effort,little research effort,Background
patent development network perspective,patent development network perspective,Background
treatment of POP,treatment of POP,Background
patent analysis using citation analysis,patent analysis using citation analysis,Background
drawbacks of citation analysis,drawbacks of citation analysis,Background
patent analysis for large companies,patent analysis for large companies,Background
shortcut for developing countries,shortcut for developing countries,Background
