Id,Label,Type
TC degree positively influences overall innovation,TC degree positively influences overall innovation,Results
TC degree negatively influences convergent innovation,TC degree negatively influences convergent innovation,Results
TC betweenness has opposite effect,TC betweenness has opposite effect,Results
convergent innovation is ratio of TC patents to total patents,convergent innovation is ratio of TC patents to total patents,Results
Hybrid approach yields more accurate class predictions,Hybrid approach yields more accurate class predictions,Results
Outperforms conventional methods,Outperforms conventional methods,Results
patent network ecology related to convergence,patent network ecology related to convergence,Results
technologies with potential to converge,technologies with potential to converge,Results
convergence-based R&D policies,convergence-based R&D policies,Results
quantum computation high knowledge engagement,quantum computation high knowledge engagement,Results
long-term attributes backgrounds,long-term attributes backgrounds,Results
path toward focal actor,path toward focal actor,Results
core safety fields comparison,core safety fields comparison,Results
medical safety,medical safety,Results
working safety,working safety,Results
vehicle safety,vehicle safety,Results
technology convergence identification,technology convergence identification,Results
proposed approach outperforms conventional approaches,proposed approach outperforms conventional approaches,Results
proposes a novel method called intelligent patent network analysis,proposes a novel method called intelligent patent network analysis,Results
method enables visual network with great precision,method enables visual network with great precision,Results
method is helpful for improving efficiency and quality of patent analysis,method is helpful for improving efficiency and quality of patent analysis,Results
verified utility with CNT-BLU patents,verified utility with CNT-BLU patents,Results
Effective in collecting royalties,Effective in collecting royalties,Results
Deter potential entrants,Deter potential entrants,Results
Impact on merger acquisition,Impact on merger acquisition,Results
Delay R&D investments,Delay R&D investments,Results
Preserve monopolistic position,Preserve monopolistic position,Results
Identify patents belonging to cloud computing,Identify patents belonging to cloud computing,Results
Reveal overall patent structure,Reveal overall patent structure,Results
Identify key technologies,Identify key technologies,Results
Provide valuable reference for enterprises,Provide valuable reference for enterprises,Results
network accessibility continuously improved,network accessibility continuously improved,Results
scale-free network characteristics,scale-free network characteristics,Results
node polarization effect weakened,node polarization effect weakened,Results
four agglomeration subgroups,four agglomeration subgroups,Results
economic factors and technological information factors strongest correlation,economic factors and technological information factors strongest correlation,Results
China's position increasing,China's position increasing,Results
transit stations role prominent,transit stations role prominent,Results
technology fusion strength increased,technology fusion strength increased,Results
structural pattern diversified,structural pattern diversified,Results
early stage new technologies,early stage new technologies,Results
later stage existing technologies,later stage existing technologies,Results
product technologies central role,product technologies central role,Results
operation technologies drivers,operation technologies drivers,Results
positioned efforts in electric vehicle technology domain,positioned efforts in electric vehicle technology domain,Results
knowledge localization specific to certain regions,knowledge localization specific to certain regions,Results
degree of localization varies across regions,degree of localization varies across regions,Results
flow of knowledge embedded in regional labor networks,flow of knowledge embedded in regional labor networks,Results
AMP device superior in preventing strokes,AMP device superior in preventing strokes,Results
understand technological evolution detail,understand technological evolution detail,Results
forecast technology opportunities,forecast technology opportunities,Results
help understand development technologies,help understand development technologies,Results
provide insights R&D plan commercialization,provide insights R&D plan commercialization,Results
China has small R&D personnel,China has small R&D personnel,Results
U.S. Companies have strong R&D capabilities,U.S. Companies have strong R&D capabilities,Results
reduce the gap between China and the U.S,reduce the gap between China and the U.S,Results
functions identified in core cooccur cohesively,functions identified in core cooccur cohesively,Results
suggested for inclusion in platform,suggested for inclusion in platform,Results
assist designers in architecting process,assist designers in architecting process,Results
imbalance between science and technology in knowledge dynamics,imbalance between science and technology in knowledge dynamics,Results
different extent and intensity of collaborative efforts,different extent and intensity of collaborative efforts,Results
technological collaboration is not common in patents,technological collaboration is not common in patents,Results
need to strengthen technological collaboration networks,need to strengthen technological collaboration networks,Results
low absorptive capacity,low absorptive capacity,Results
high external openness,high external openness,Results
capability accumulation,capability accumulation,Results
identify evolving topics,identify evolving topics,Results
areas of current focus,areas of current focus,Results
research patterns,research patterns,Results
hidden knowledge themes,hidden knowledge themes,Results
RA associated with lower graft occlusion,RA associated with lower graft occlusion,Results
RA ranks as best conduit,RA ranks as best conduit,Results
no-touch saphenous vein lower occlusion,no-touch saphenous vein lower occlusion,Results
technological convergence patterns,technological convergence patterns,Results
dynamic patterns measurement,dynamic patterns measurement,Results
identify convergence,identify convergence,Results
homophily affects citations,homophily affects citations,Results
transitivity affects citations,transitivity affects citations,Results
technical factors influence citations,technical factors influence citations,Results
structure of innovation path,structure of innovation path,Results
guideline for innovation,guideline for innovation,Results
node identification,node identification,Results
applications and combinations of IoT,applications and combinations of IoT,Results
emerging technology clusters,emerging technology clusters,Results
meaningful patterns,meaningful patterns,Results
network structure,network structure,Results
information development technologies inventions,information development technologies inventions,Results
substantial reduction,substantial reduction,Results
ischemic stroke recurrence,ischemic stroke recurrence,Results
lower risk bleeding,lower risk bleeding,Results
persistent atrial fibrillation,persistent atrial fibrillation,Results
device-related adverse events,device-related adverse events,Results
Identify companies for effective partnerships,Identify companies for effective partnerships,Results
Improve competitiveness in technology development,Improve competitiveness in technology development,Results
five different technological routes,five different technological routes,Results
support decision makers,support decision makers,Results
identify HAI technologies,identify HAI technologies,Results
promote new HAI technologies development,promote new HAI technologies development,Results
China's significant presence,China's significant presence,Results
growing technological diffusion,growing technological diffusion,Results
surpassing historical players,surpassing historical players,Results
future knowledge flow can be predicted,future knowledge flow can be predicted,Results
patent co-citations predict knowledge flow,patent co-citations predict knowledge flow,Results
growth to maturation phase contributes to prediction precision,growth to maturation phase contributes to prediction precision,Results
knowledge flow occurs shortly after prediction,knowledge flow occurs shortly after prediction,Results
quantum computation subfield,quantum computation subfield,Results
long-term attributes,long-term attributes,Results
backgrounds through multi-level perspective,backgrounds through multi-level perspective,Results
parabolical influence patent innovation performance,parabolical influence patent innovation performance,Results
small-world structures effect,small-world structures effect,Results
beyond previous research results,beyond previous research results,Results
policy formulation entrepreneurial decisions,policy formulation entrepreneurial decisions,Results
viewpoint oriented analysis efficiency compared global analysis,viewpoint oriented analysis efficiency compared global analysis,Results
objective subjective quality criteria evaluation,objective subjective quality criteria evaluation,Results
patent database 1000 oil engineering patents,patent database 1000 oil engineering patents,Results
multiple maps viewpoints global viewpoint combination,multiple maps viewpoints global viewpoint combination,Results
connectivity diversification increasing,connectivity diversification increasing,Results
radial spatial pattern Beijing centered,radial spatial pattern Beijing centered,Results
dense eastern sparse western,dense eastern sparse western,Results
coastal resource agglomeration,coastal resource agglomeration,Results
rising trend in patents and patentees,rising trend in patents and patentees,Results
state-owned enterprises dominant,state-owned enterprises dominant,Results
patents classified as E04G21,patents classified as E04G21,Results
cooperative relationships within enterprises,cooperative relationships within enterprises,Results
geographical factors in university cooperation,geographical factors in university cooperation,Results
effective CPMs,effective CPMs,Results
Japan is the most important citation center,Japan is the most important citation center,Results
"LG Phillips, Sharp, Samsung, Hitachi, IBM, and AUO are central points of knowledge flow","LG Phillips, Sharp, Samsung, Hitachi, IBM, and AUO are central points of knowledge flow",Results
identify new areas of industry and research,identify new areas of industry and research,Results
prevent duplicate patents,prevent duplicate patents,Results
familiarity with similar inventions,familiarity with similar inventions,Results
awareness of legal entities,awareness of legal entities,Results
knowledge of researchers,knowledge of researchers,Results
residual effect of spatial proximity on knowledge diffusion is greatly reduced,residual effect of spatial proximity on knowledge diffusion is greatly reduced,Results
geography matters due to localized co-invention network,geography matters due to localized co-invention network,Results
two subsectors at centre of knowledge exchange,two subsectors at centre of knowledge exchange,Results
five different groups of firms,five different groups of firms,Results
knowledge flows converge to leading firms,knowledge flows converge to leading firms,Results
catch-up players play brokerage role,catch-up players play brokerage role,Results
knowledge keystone players play brokerage role across groups,knowledge keystone players play brokerage role across groups,Results
breadth open innovation positive effect,breadth open innovation positive effect,Results
depth openness positive influence,depth openness positive influence,Results
patent productivity decrease tipping point,patent productivity decrease tipping point,Results
patent applications rapidly expanding,patent applications rapidly expanding,Results
diversity of industries,diversity of industries,Results
collaborative activities not extensively expanded,collaborative activities not extensively expanded,Results
tendency to collaborate outside,tendency to collaborate outside,Results
local environment improved,local environment improved,Results
small-scale cooperation rising,small-scale cooperation rising,Results
universities core of knowledge production,universities core of knowledge production,Results
bioeconomy focal point,bioeconomy focal point,Results
circular economy,circular economy,Results
technological development fermentation,technological development fermentation,Results
enzymes microorganisms,enzymes microorganisms,Results
developed economies driving force,developed economies driving force,Results
PCT system fundamental,PCT system fundamental,Results
emergence of new use environments increases knowledge generation,emergence of new use environments increases knowledge generation,Results
increased product innovation,increased product innovation,Results
increased technological uncertainty,increased technological uncertainty,Results
new actors participate in core knowledge trajectory,new actors participate in core knowledge trajectory,Results
???????????? ?????,???????????? ?????,Results
failure closure PDA,failure closure PDA,Results
neonatal mortality,neonatal mortality,Results
chronic lung disease,chronic lung disease,Results
Reveal hotspots of IPC technology research,Reveal hotspots of IPC technology research,Results
Highlight relative advantages and disadvantages of leading countries and enterprises,Highlight relative advantages and disadvantages of leading countries and enterprises,Results
Provide reference for government strategy formulation,Provide reference for government strategy formulation,Results
Illumination of development picture for blockchain experts,Illumination of development picture for blockchain experts,Results
Identification of important patents and development trajectories,Identification of important patents and development trajectories,Results
Close integration of logistics with purchasing and sales,Close integration of logistics with purchasing and sales,Results
