name,country,type
LG Energy Solution,Korea,Cell Maker
Tesla,USA,Automaker
CATL,China,Cell Maker
SK On,Korea,Cell Maker
Samsung SDI,Korea,Cell Maker
Panasonic,Japan,Cell Maker
BYD,China,Automaker
Northvolt,Sweden,Cell Maker
QuantumScape,USA,Startup
Solid Power,USA,Startup
StoreDot,Israel,Startup
CALB,China,Cell Maker
Guoxuan High-Tech,China,Cell Maker
EVE Energy,China,Cell Maker
Sunwoda,China,Cell Maker
Farasis Energy,China,Cell Maker
AESC,Japan,Cell Maker
Verkor,France,Startup
Morrow Batteries,Norway,Startup
Freyr,Norway,Startup
Rivian,USA,Automaker
Volkswagen,Germany,Automaker
Toyota,Japan,Automaker
General Motors,USA,Automaker
Ford,USA,Automaker
Hyundai Motor,Korea,Automaker
BMW,Germany,Automaker
Posco Future M,Korea,Material
EcoPro BM,Korea,Material
Redwood Materials,USA,Recycling
