Id,Label,Type
patent network analysis,patent network analysis,Methodology
three centrality indices,three centrality indices,Methodology
panel regression,panel regression,Methodology
empirical analysis on top 30 firms,empirical analysis on top 30 firms,Methodology
Hybrid approach combining novel patent-network-based method,Hybrid approach combining novel patent-network-based method,Methodology
Three conventional methods,Three conventional methods,Methodology
Content-based citation-based metadata-based,Content-based citation-based metadata-based,Methodology
Reachable nodes analysis,Reachable nodes analysis,Methodology
Modified k-nearest neighbor classifier,Modified k-nearest neighbor classifier,Methodology
quadratic assignment procedures,quadratic assignment procedures,Methodology
QAP,QAP,Methodology
innovation ecosystem theory,innovation ecosystem theory,Methodology
social-technical system theory,social-technical system theory,Methodology
centrality analysis,centrality analysis,Methodology
association rule mining,association rule mining,Methodology
brokerage network analysis,brokerage network analysis,Methodology
patent co-class analysis,patent co-class analysis,Methodology
patent citation analysis,patent citation analysis,Methodology
construct patent network,construct patent network,Methodology
analyze reachable nodes,analyze reachable nodes,Methodology
use modified k-nearest neighbor classifier,use modified k-nearest neighbor classifier,Methodology
artificial intelligence techniques,artificial intelligence techniques,Methodology
automated procedure for searching patent documents,automated procedure for searching patent documents,Methodology
extracting patent keywords,extracting patent keywords,Methodology
determining weight of each patent keyword,determining weight of each patent keyword,Methodology
generate sophisticated visualization of patent network,generate sophisticated visualization of patent network,Methodology
Patent citations networks,Patent citations networks,Methodology
Identify technological trajectories,Identify technological trajectories,Methodology
Scale-free networks,Scale-free networks,Methodology
Legal enforcement indicators,Legal enforcement indicators,Methodology
Bibliometric and network analyses,Bibliometric and network analyses,Methodology
Two-stage patent retrieval method,Two-stage patent retrieval method,Methodology
Gray relational-based cluster analysis,Gray relational-based cluster analysis,Methodology
Visual networks and technology centrality indexes,Visual networks and technology centrality indexes,Methodology
global patent cooperation data,global patent cooperation data,Methodology
social network analysis,social network analysis,Methodology
factor identification,factor identification,Methodology
co-occurrence networks,co-occurrence networks,Methodology
international patent classification (IPC) codes,international patent classification (IPC) codes,Methodology
photovoltaic patents,photovoltaic patents,Methodology
build network of IPCs,build network of IPCs,Methodology
co-occurrence in patent applications,co-occurrence in patent applications,Methodology
apply Revealed Patent Application Advantage index,apply Revealed Patent Application Advantage index,Methodology
analyze patent citations of semiconductor innovations,analyze patent citations of semiconductor innovations,Methodology
empirically show interfirm mobility of engineers influences local transfer,empirically show interfirm mobility of engineers influences local transfer,Methodology
analyze data on interfirm mobility of patent holders,analyze data on interfirm mobility of patent holders,Methodology
Comparison of AMP device vs medical therapy,Comparison of AMP device vs medical therapy,Methodology
construct technological networks,construct technological networks,Methodology
core terms derived from patent documents,core terms derived from patent documents,Methodology
comparison between networks sequential time periods,comparison between networks sequential time periods,Methodology
case study exploring evolution,case study exploring evolution,Methodology
extract patents,extract patents,Methodology
patented metrology research methods,patented metrology research methods,Methodology
analysis of complex networks,analysis of complex networks,Methodology
data-driven method,data-driven method,Methodology
network of functions,network of functions,Methodology
co-occurrences in prior designs,co-occurrences in prior designs,Methodology
network analysis algorithm,network analysis algorithm,Methodology
core–periphery structure,core–periphery structure,Methodology
examining patents and scientific publications,examining patents and scientific publications,Methodology
analysis period 2004-2014,analysis period 2004-2014,Methodology
triple helix perspective,triple helix perspective,Methodology
comparative analysis of co-authorship and co-inventorship networks,comparative analysis of co-authorship and co-inventorship networks,Methodology
network analysis,network analysis,Methodology
USPTO database,USPTO database,Methodology
collaboration networks,collaboration networks,Methodology
topic modelling based on latent Dirichlet allocation,topic modelling based on latent Dirichlet allocation,Methodology
centrality indices,centrality indices,Methodology
co-occurrence analysis,co-occurrence analysis,Methodology
systematic literature search,systematic literature search,Methodology
randomized controlled trials,randomized controlled trials,Methodology
network meta-analysis,network meta-analysis,Methodology
Named Entity Recognition,Named Entity Recognition,Methodology
corpus extraction,corpus extraction,Methodology
patents cooccurrences,patents cooccurrences,Methodology
time-varying network analysis,time-varying network analysis,Methodology
exponential random graph models (ergms),exponential random graph models (ergms),Methodology
descriptive analysis,descriptive analysis,Methodology
network modeling,network modeling,Methodology
patent analysis,patent analysis,Methodology
international patent classification (IPC) co-occurrence network,international patent classification (IPC) co-occurrence network,Methodology
social network analysis (SNA) algorithms,social network analysis (SNA) algorithms,Methodology
TOPSIS method,TOPSIS method,Methodology
data mining methods,data mining methods,Methodology
k-means clustering,k-means clustering,Methodology
text mining,text mining,Methodology
international patent classification ipc code,international patent classification ipc code,Methodology
patent titles,patent titles,Methodology
social network analysis sna metric measurements,social network analysis sna metric measurements,Methodology
network layouts,network layouts,Methodology
systematic review,systematic review,Methodology
Grading of Recommendations Assessment Development and Evaluation,Grading of Recommendations Assessment Development and Evaluation,Methodology
Patent impact index,Patent impact index,Methodology
Cooperation network,Cooperation network,Methodology
Technology classification,Technology classification,Methodology
Technical capability index,Technical capability index,Methodology
search path link count algorithm,search path link count algorithm,Methodology
patent database,patent database,Methodology
technological forecasting,technological forecasting,Methodology
WIPO data,WIPO data,Methodology
2001-2021,2001-2021,Methodology
dynamic analysis of patent citation network,dynamic analysis of patent citation network,Methodology
patent co-citation network mapping,patent co-citation network mapping,Methodology
preferential attachment link prediction algorithm,preferential attachment link prediction algorithm,Methodology
link prediction algorithms applied to co-citation network,link prediction algorithms applied to co-citation network,Methodology
nano biopharmaceuticals complex network analysis,nano biopharmaceuticals complex network analysis,Methodology
small-world properties influence,small-world properties influence,Methodology
weighted patent value measurement,weighted patent value measurement,Methodology
empirical investigation university industry patent innovation collaboration,empirical investigation university industry patent innovation collaboration,Methodology
multi som neural model,multi som neural model,Methodology
viewpoints dynamic information exchange,viewpoints dynamic information exchange,Methodology
full text analysis automatic extraction indexing vocabulary,full text analysis automatic extraction indexing vocabulary,Methodology
unsupervised mult som algorithm classification,unsupervised mult som algorithm classification,Methodology
data on China rare earth patents,data on China rare earth patents,Methodology
Incopat global patent database,Incopat global patent database,Methodology
provincial municipal levels,provincial municipal levels,Methodology
Social Network Analysis,Social Network Analysis,Methodology
