Id,Label,Type,Full_Text
Paper_1,As a consequence of the convergence between manufa...,Paper,"As a consequence of the convergence between manufacturing technology and the foundation technologies of Industry 4.0, it is becoming more important for firms to formulate an innovation strategy for th"
Paper_2,Effective patent management is essential for organ...,Paper,Effective patent management is essential for organizations to maintain their competitive advantage. The classification of patents is a critical part of patent management and industrial analysis. This 
Paper_3,Because of the remarkable developments in robotics...,Paper,"Because of the remarkable developments in robotics in recent years, technological convergence has been active in this area. We focused on finding patterns of convergence within robot technology using "
Paper_4,While the new chapter of quantum technologies is b...,Paper,"While the new chapter of quantum technologies is bringing transformative changes to our society, a quantum ecosystem, which synergises the supportive activities from both social and scientific & techn"
Paper_5,"Purpose Using the large database of patent, the pu...",Paper,"Purpose Using the large database of patent, the purpose of this paper is to structure a technology convergence network using various patent network analysis for integrating different results according"
Paper_6,Patent management is increasingly important for or...,Paper,Patent management is increasingly important for organizations to sustain their competitive advantage. The classification of patents is essential for patent management and industrial analysis. In this 
Paper_7,"Patent network analysis, an advanced method of pat...",Paper,"Patent network analysis, an advanced method of patent analysis, is a useful tool for technology management. This method visually displays all the relationships among the patents and enables the analys"
Paper_8,Plant biotechnology has consolidated itself as a r...,Paper,"Plant biotechnology has consolidated itself as a radical agricultural innovation, boosting the patenting activities of universities, biotechnology firms, and seed &amp; agrochemicals corporations. We "
Paper_9,"With the rise of cloud computing technology, many ...",Paper,"With the rise of cloud computing technology, many IT manufacturers have rushed to enter the market. However, to date, only a few attempts have been made at the patent analysis of cloud computing. The "
Paper_10,This study uses global patent cooperation data fro...,Paper,"This study uses global patent cooperation data from 1999 to 2020, employs social network analysis, and explores the changes in and driving forces of global innovation networks (GINs) in the past 20 ye"
Paper_11,This study analyzes the technology fusion phenomen...,Paper,"This study analyzes the technology fusion phenomena and its characteristics, focusing on the solar photovoltaic (PV) industry in South Korea. Co-occurrence networks of international patent classificat"
Paper_12,When a nation is making strategies in a technology...,Paper,"When a nation is making strategies in a technology domain, it makes sense to know where the nation is currently in the domain and to know where other nations are as well. This paper presents a method "
Paper_13,"Knowledge, once generated, spills only imperfectly...",Paper,"Knowledge, once generated, spills only imperfectly among firms and nations. We posit that since institutions and labor networks vary by region, there should be regional variations in the localization "
Paper_14,The effectiveness of PFO closure depends on the de...,Paper,The effectiveness of PFO closure depends on the device used. PFO closure with AMP appears superior to medical therapy in preventing strokes in patients with cryptogenic embolism.
Paper_15,Identifying technological evolution is a crucial w...,Paper,"Identifying technological evolution is a crucial way to assist in technology management. Since modern technology has become more and more complex and dynamic, general statistical techniques can hardly"
Paper_16,Internet of Things (IOT) is considered as the worl...,Paper,Internet of Things (IOT) is considered as the world's third wave of the information industry after the inventions of computer and Internet. Cloud computing is among the key technologies in the scope o
Paper_17,A properly designed product-system platform seeks ...,Paper,A properly designed product-system platform seeks to reduce the cost and lead time for design and development of the product-system family. A key goal is to achieve a tradeoff between economy of scope
Paper_18,This study attempts to explore Sino-South Korea co...,Paper,"This study attempts to explore Sino-South Korea collaborations in science and technology, focusing on the networks of university–industry–government (UIG) relations embedded in co-authored papers and "
Paper_19,Abstract This paper contributes to the literature ...,Paper,Abstract This paper contributes to the literature on innovation and development by analysing the absorptive and connectivity capacities of Latin American innovation systems between 1970 and 2017. Appl
Paper_20,This article presents analysis of data from scient...,Paper,This article presents analysis of data from scientific articles and patents to identify the evolving trends and underlying topics in research on humanoid robots. We used topic modelling based on laten
Paper_21,Background Several randomized trials have compared...,Paper,"Background Several randomized trials have compared the patency of coronary artery bypass conduits. All of the published studies, however, have performed pairwise comparisons and a comprehensive evalua"
Paper_22,Identifying technology convergence is getting hard...,Paper,"Identifying technology convergence is getting harder, especially in fast-evolving and cross-technological fields. On the other side, natural language processing and network analysis researchers is to "
Paper_23,Patent Citation Analysis has been gaining consider...,Paper,"Patent Citation Analysis has been gaining considerable traction over the past few decades. In this paper, we collect extensive information on patents and citations and provide a perspective of citatio"
Paper_24,The Internet of Things (IoT) makes the world aroun...,Paper,The Internet of Things (IoT) makes the world around us more intelligent and more responsive by developing cyber–physical systems. The IoT is about to change how we live and how we work. It is essentia
Paper_25,A patent is an important document issued by the go...,Paper,"A patent is an important document issued by the government to protect inventions or product design. Inventions consist of mechanical structures, production processes, quality improvements of products,"
Paper_26,Objective To examine the relative impact of three ...,Paper,"Objective To examine the relative impact of three management options in patients aged &lt;60 years with cryptogenic stroke and a patent foramen ovale (PFO): PFO closure plus antiplatelet therapy, anti"
Paper_27,This paper presents an open innovation strategy by...,Paper,This paper presents an open innovation strategy by identifying the patent impact index and cooperation network through patent analysis for leading companies developing technology in the UAM field. Amo
Paper_28,Knowledge-intensive significantly contribute to te...,Paper,Knowledge-intensive significantly contribute to technological development. This paper aims to explore technological routes (TR) on high analytics information (HAI) technologies for sake of technologic
Paper_29,Purpose: The study aims to examine China’s rising ...,Paper,Purpose: The study aims to examine China’s rising technological influence in Africa within the context of Industry 5.0 and how it compares to traditional powers like the European Union (EU) and the Un
Paper_30,Purpose This paper aims to present a methodology b...,Paper,Purpose This paper aims to present a methodology by which future knowledge flow can be predicted by predicting co-citations of patents within a technology domain using a link prediction algorithm appl
Paper_31,While the new chapter of quantum technologies is b...,Paper,"While the new chapter of quantum technologies is bringing transformative changes to our society, a quantum ecosystem, which synergises the supportive activities from both social and scientific & techn"
Paper_32,Purpose: In order to explore the multiplicative in...,Paper,"Purpose: In order to explore the multiplicative interaction between clustering and reach, as well as their effect on members' knowledge production and patent value, the authors researched university–i"
Paper_33,The main area of this paper concerns the neural me...,Paper,"The main area of this paper concerns the neural methods for mapping scientific and technical information (articles, patents) and for assisting a user in carrying out the complex process of analysing l"
Paper_34,To clearly describe the structural characteristics...,Paper,"To clearly describe the structural characteristics of China's rare earth innovation network (REIN), this study used data on China's rare earth patents since 2001 in the Incopat global patent database "
Paper_35,Despite the rapid development of Chinese construct...,Paper,"Despite the rapid development of Chinese construction industry, there has been little research effort directed towards exploring patent cooperative patterns and evolution trends of construction enterp"
Paper_36,"In the treatment of POP, Jintiange capsule and Zuo...",Paper,"In the treatment of POP, Jintiange capsule and Zuogui Wan are effective CPMs for improving the BMD of the lumbar spine and femoral neck, respectively."
Paper_37,Patent documents are an ample source of technical ...,Paper,"Patent documents are an ample source of technical and commercial knowledge and, thus, patent analysis has long been considered a useful vehicle for R&D management and technoeconomic analysis. In terms"
Paper_38,Patent analysis has recently been recognized as a ...,Paper,Patent analysis has recently been recognized as a powerful technique for large companies in the world to lend them insight into the age of competition among various industries. This technique is consi
Paper_39,This article illustrates the contribution of mobil...,Paper,This article illustrates the contribution of mobile inventors and networks of inventors to&#13;\nthe diffusion of knowledge across firms and within cities or states. It is based upon an&#13;\noriginal
Paper_40,"With the emergence of smartphones, the paradigm of...",Paper,"With the emergence of smartphones, the paradigm of the mobile ecosystem has changed rapidly. In particular, global mobile firms focus on technological competition when jostling for market position in "
Paper_41,Purpose The purpose of this paper is to investigat...,Paper,"Purpose The purpose of this paper is to investigate the relational dynamics for innovation and, in particular, the impact of the openness of innovation process on the innovation capacity of organisati"
Paper_42,The purpose of this study is to explore the techno...,Paper,The purpose of this study is to explore the technological cooperation structure of Ulsan through the analysis of the technological cooperation network.This study analyzed the network of patent applica
Paper_43,Biorefineries are modern mechanisms used for produ...,Paper,"Biorefineries are modern mechanisms used for producing value-added products and biofuels from different biomass sources. However, a crucial challenge is to achieve a sustainable model for their adequa"
Paper_44,It is important for policymakers and industry prac...,Paper,"It is important for policymakers and industry practitioners to understand the factors that influence the evolution of a technology’s knowledge base, i.e., its knowledge trajectory. The literature on t"
Paper_45,???????????? ????????? ????????? ?????? ????????? ...,Paper,???????????? ????????? ????????? ?????? ????????? ??????????????? ???????????? ????????? ????????? ???????????? ??????. ????????? ???????????? ????????? ????????? ?????? ??????????????? ????????? ????
Paper_46,Introduction Management of patent ductus arteriosu...,Paper,Introduction Management of patent ductus arteriosus (PDA) in preterm infants is one of the most controversial topics in neonatal medicine. The availability of different pharmacotherapeutic options oft
Paper_47,The fifth-generation (5G) network has special comm...,Paper,"The fifth-generation (5G) network has special communication and security requirements including high reliability, low latency, precise automatic control, secure covert transmission, and evidence trace"
Paper_48,"In the past few years, blockchain technology has a...",Paper,"In the past few years, blockchain technology has attracted more and more attention, and it has been widely used in various fields. But there is still a lack of relevant research reports on the innovat"
